frame,id,x,y
0,0,1545,576
0,1,751,679
0,2,891,503
0,3,1149,404
0,4,712,529
0,5,431,461
0,6,1352,488
0,7,1413,380
0,8,503,603
0,9,1804,224
0,10,502,573
0,11,1307,382
0,12,1301,392
0,13,508,634
1,3,1156,403
1,0,1552,573
1,1,753,678
1,4,700,530
1,2,893,503
1,8,509,604
1,6,1355,488
1,5,428,466
1,7,1408,379
1,11,1303,410
2,0,1556,573
2,1,752,676
2,3,1164,402
2,8,518,604
2,2,895,505
2,6,1364,489
2,4,692,527
2,5,427,467
2,7,1409,375
2,11,1310,379
2,14,1802,225
2,15,1117,1062
3,1,754,674
3,6,1372,495
3,0,1562,573
3,2,898,505
3,8,525,604
3,3,1172,405
3,4,689,524
3,5,425,470
3,7,1410,375
3,14,1803,226
3,11,1311,378
3,15,1104,1061
4,6,1377,500
4,1,757,672
4,0,1570,571
4,2,899,505
4,5,423,471
4,8,526,605
4,3,1180,408
4,4,679,508
4,11,1307,377
4,7,1412,375
4,14,1804,225
4,16,942,322
5,6,1380,500
5,0,1579,572
5,1,762,672
5,2,901,506
5,4,675,524
5,5,420,471
5,3,1181,407
5,8,540,580
5,17,1094,1059
5,11,1308,379
5,7,1412,371
5,16,946,322
6,1,770,672
6,6,1385,499
6,0,1588,570
6,4,669,528
6,3,1186,408
6,2,904,507
6,7,1415,370
6,17,1082,1054
6,5,420,471
6,11,1309,380
6,8,551,583
6,16,949,320
7,1,777,672
7,0,1597,568
7,6,1389,499
7,4,661,523
7,3,1189,407
7,17,1070,1050
7,2,906,509
7,11,1311,380
7,5,420,470
7,7,1417,365
7,18,523,629
7,8,563,582
8,6,1393,497
8,1,783,671
8,4,660,524
8,0,1605,568
8,17,1057,1049
8,2,908,507
8,18,523,627
8,11,1319,377
8,3,1196,404
8,8,573,580
8,5,419,469
8,7,1418,361
9,6,1398,496
9,0,1618,570
9,2,911,508
9,1,784,672
9,18,524,625
9,4,655,524
9,17,1050,1048
9,8,583,581
9,11,1326,375
9,7,1420,360
9,5,420,467
9,3,1202,404
9,19,960,317
9,20,1263,306
10,6,1402,493
10,1,788,669
10,18,526,626
10,2,914,505
10,4,647,526
10,0,1626,571
10,3,1212,403
10,11,1328,372
10,17,1042,1048
10,7,1422,356
10,8,588,576
10,5,420,466
10,21,1832,214
11,2,919,507
11,6,1405,489
11,1,791,664
11,0,1640,571
11,18,531,628
11,3,1221,402
11,7,1424,354
11,17,1033,1049
11,8,597,568
11,11,1323,368
11,5,418,489
11,4,653,503
11,21,1835,213
12,1,798,665
12,2,922,506
12,18,536,629
12,0,1645,570
12,6,1410,490
12,3,1231,396
12,7,1428,350
12,17,1025,1048
12,8,637,551
12,11,1320,366
12,21,1840,212
12,5,418,491
12,4,650,494
13,1,805,664
13,18,558,629
13,6,1413,489
13,0,1653,568
13,2,926,506
13,7,1433,349
13,5,419,463
13,3,1245,399
13,17,1016,1045
13,11,1320,366
13,8,640,546
13,22,973,304
13,21,1848,209
13,23,242,429
14,0,1661,566
14,1,811,663
14,6,1414,488
14,18,552,629
14,2,930,503
14,3,1249,399
14,17,1006,1042
14,5,420,460
14,7,1439,346
14,8,644,571
14,11,1322,362
15,1,816,661
15,6,1413,488
15,2,939,502
15,0,1669,564
15,18,559,629
15,3,1251,401
15,24,628,513
15,11,1322,361
15,5,420,458
15,7,1445,343
15,17,1000,1039
15,25,1210,272
15,8,666,576
15,26,243,433
