frame,id,x,y
0,0,816,579
0,1,1169,91
0,2,1418,72
0,3,1729,64
0,4,914,903
1,0,826,584
1,1,1192,96
1,2,1440,76
1,3,1750,69
2,0,835,585
2,1,1217,100
2,2,1463,77
2,3,1774,71
2,5,947,911
3,0,854,590
3,2,1486,80
3,1,1237,105
3,3,1755,71
3,5,965,915
4,0,854,591
4,2,1486,80
4,1,1237,105
4,3,1755,71
4,5,965,915
5,0,856,596
5,2,1509,83
5,1,1261,109
5,3,1801,73
5,5,980,920
6,0,838,597
6,1,1280,113
6,2,1529,89
6,3,1805,76
6,5,991,926
7,0,839,598
7,1,1297,117
7,3,1819,77
7,2,1544,93
7,5,998,930
8,0,844,594
8,1,1310,121
8,2,1560,95
8,3,1826,79
8,5,1003,934
9,0,847,590
9,1,1316,126
9,2,1570,101
9,5,1005,939
9,3,1828,81
10,0,847,589
10,1,1316,126
10,5,1005,939
10,3,1828,81
10,2,1570,101
11,0,851,588
11,5,1008,943
11,2,1577,104
11,3,1833,84
11,1,1324,130
11,6,488,146
12,0,856,582
12,5,1006,948
12,3,1837,89
12,1,1332,134
12,2,1586,107
12,6,495,153
12,7,1464,20
13,0,862,578
13,5,1005,951
13,3,1838,95
13,1,1336,138
13,6,499,157
13,2,1589,109
13,7,1469,22
14,0,861,573
14,5,1000,952
14,3,1838,98
14,6,500,157
14,1,1339,142
14,2,1591,110
15,0,860,566
15,2,1588,116
15,3,1836,101
15,1,1334,144
15,6,498,158
15,5,991,953
16,0,860,566
16,2,1588,117
16,3,1836,101
16,1,1334,144
16,6,498,158
16,5,990,953
17,0,851,561
17,1,1331,144
17,2,1583,119
17,3,1833,103
17,6,492,165
17,5,981,954
17,8,939,605
17,9,1114,113
18,0,838,558
18,1,1325,145
18,2,1577,118
18,3,1833,103
18,6,488,188
18,5,973,954
18,8,937,599
19,0,824,555
19,1,1321,145
19,2,1574,119
19,3,1831,103
19,6,485,188
19,5,966,955
20,0,813,554
20,1,1319,145
20,2,1573,119
20,3,1831,103
20,6,483,189
20,5,961,954
21,0,800,555
21,1,1319,145
21,2,1572,120
21,3,1830,103
21,6,483,188
21,5,958,953
22,0,799,556
22,1,1319,145
22,2,1573,120
22,3,1830,103
22,6,483,188
22,5,958,953
23,0,789,557
23,1,1319,146
23,3,1830,104
23,2,1572,120
23,6,483,189
23,5,953,953
24,0,782,562
24,3,1831,105
24,2,1574,121
24,5,949,954
24,1,1317,147
24,6,483,190
25,0,775,568
25,3,1830,105
25,2,1573,121
25,5,943,953
25,6,482,190
25,1,1319,151
26,5,935,952
26,0,766,573
26,2,1569,121
26,3,1828,104
